   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.04394  13.04440    0.0034  30030279  72687749      -548
  13.04353  13.04399    0.0034  30026079  72666149     -1348
  13.04311  13.04358    0.0034  30035679  72694749      -281
  13.04269  13.04317    0.0034  30029279  72727749     -1614
  13.04228  13.04276    0.0034  30028679  72702449       -14
  13.04186  13.04235    0.0034  30019879  72686149     -1081
  13.04144  13.04194    0.0034  30022279  72706149      -281
  13.04103  13.04152    0.0034  30038279  72717349     -1081
  13.04061  13.04109    0.0034  30030579  72726749     -1081
  13.04019  13.04065    0.0034  30005479  72708849      -814
  13.03978  13.04021    0.0034  30010579  72701949     -1081
  13.03936  13.03979    0.0034  30014879  72735549      -548
  13.03894  13.03939    0.0034  30023079  72757949     -1614
  13.03853  13.03899    0.0034  30022879  72739249      -548
  13.03811  13.03860    0.0034  30023679  72746149     -1613
  13.03769  13.03821    0.0034  30008479  72755749      -548
  13.03728  13.03781    0.0034  30000679  72749649     -1614
  13.03686  13.03739    0.0034  30017479  72786749     -1081
  13.03644  13.03697    0.0034  30015379  72766949      -814
  13.03603  13.03653    0.0034  29987079  72748849     -1348
  13.03561  13.03610    0.0034  30006079  72757149      -548
  13.03519  13.03567    0.0034  30006879  72780849     -1614
  13.03478  13.03525    0.0034  29999879  72796049      -281
  13.03436  13.03484    0.0034  29992179  72792849     -1614
  13.03394  13.03443    0.0034  29995679  72790949      -281
  13.03353  13.03401    0.0034  29995379  72805349     -1348
  13.03311  13.03360    0.0034  29987879  72807549      -548
  13.03269  13.03319    0.0034  29990079  72810749     -1348
  13.03228  13.03278    0.0034  29987079  72786949     -1081
  13.03186  13.03237    0.0034  29980979  72796849     -1081
