   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:36 - 17.10.06 11:36
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64017 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.04561  13.04607    0.0034  30004179  50453349     -1081
  13.04519  13.04564    0.0034  30008979  50486849      -279
  13.04478  13.04522    0.0034  30004179  50482749     -1081
  13.04436  13.04481    0.0034  30003379  50496049      -814
  13.04394  13.04440    0.0034  30002079  50500049      -814
  13.04353  13.04399    0.0034  29995079  50479249     -1348
  13.04311  13.04357    0.0034  29981279  50483249      -548
  13.04269  13.04316    0.0034  29992679  50488349     -1348
  13.04228  13.04275    0.0034  30000479  50505949      -548
  13.04186  13.04234    0.0034  29988479  50494749     -1614
  13.04144  13.04193    0.0034  29991379  50503249      -548
  13.04103  13.04151    0.0034  29978579  50515749     -1081
  13.04061  13.04108    0.0034  29978279  50522149     -1081
  13.04019  13.04064    0.0034  29986579  50529949     -1081
  13.03978  13.04021    0.0034  29979679  50533949     -1081
  13.03936  13.03978    0.0034  29966879  50514749      -548
  13.03894  13.03938    0.0034  29966579  50536349     -1614
  13.03853  13.03898    0.0034  29986579  50565549      -813
  13.03811  13.03859    0.0034  29979879  50558749     -1614
  13.03769  13.03820    0.0034  29970879  50546749      -548
  13.03728  13.03780    0.0034  29970079  50552549     -1614
  13.03686  13.03738    0.0034  29973479  50580049     -1081
  13.03644  13.03695    0.0034  29971679  50603749     -1081
  13.03603  13.03652    0.0034  29975879  50599749     -1348
  13.03561  13.03609    0.0034  29966279  50592349     -1081
  13.03519  13.03566    0.0034  29962279  50579749     -1348
  13.03478  13.03524    0.0034  29966879  50610149      -548
  13.03436  13.03483    0.0034  29968479  50607749     -1881
  13.03394  13.03442    0.0034  29956479  50616549      -548
  13.03353  13.03401    0.0034  29943379  50593949     -1881
  13.03311  13.03359    0.0034  29954079  50612349      -548
  13.03269  13.03318    0.0034  29952979  50620349     -1614
  13.03228  13.03277    0.0034  29953779  50625649     -1081
  13.03186  13.03236    0.0034  29951679  50637049     -1079
  13.03144  13.03194    0.0034  29935079  50620549     -1348
  13.03103  13.03152    0.0034  29957279  50635249     -1081
  13.03061  13.03109    0.0034  29958879  50650149     -1614
  13.03019  13.03065    0.0034  29947879  50647249      -814
  13.02978  13.03022    0.0034  29933479  50649649     -1614
  13.02936  13.02979    0.0034  29937279  50654149      -548
  13.02894  13.02938    0.0034  29947679  50684849     -1614
  13.02853  13.02899    0.0034  29937779  50669949     -1081
  13.02811  13.02860    0.0034  29938079  50664849     -1081
  13.02769  13.02820    0.0034  29932179  50666749     -1348
  13.02728  13.02780    0.0034  29925279  50696049      -814
  13.02686  13.02738    0.0034  29932179  50708049     -1614
  13.02644  13.02696    0.0034  29931379  50703749      -814
  13.02603  13.02653    0.0034  29924679  50697949     -1881
  13.02561  13.02610    0.0034  29899379  50702749      -814
  13.02519  13.02567    0.0034  29935079  50704049     -1614
  13.02478  13.02525    0.0034  29929479  50736749      -813
  13.02436  13.02484    0.0034  29918279  50706449     -1348
  13.02394  13.02443    0.0034  29922079  50708349     -1081
  13.02353  13.02401    0.0034  29922579  50721949     -1614
  13.02311  13.02360    0.0034  29917779  50738749     -1348
  13.02269  13.02319    0.0034  29916179  50729949      -548
  13.02228  13.02279    0.0034  29904179  50736049     -2148
  13.02186  13.02238    0.0034  29899379  50729649      -814
  13.02144  13.02196    0.0034  29911079  50750749     -1881
  13.02103  13.02154    0.0034  29912979  50762449      -814
  13.02061  13.02111    0.0034  29894279  50763749     -1614
  13.02019  13.02067    0.0034  29892479  50753149     -1081
  13.01978  13.02024    0.0034  29890579  50759249     -1348
  13.01936  13.01982    0.0034  29899879  50777149     -1348
  13.01894  13.01941    0.0034  29903079  50795549      -814
  13.01853  13.01902    0.0034  29895379  50784349     -1614
  13.01811  13.01862    0.0034  29896179  50796549      -546
  13.01769  13.01823    0.0034  29894879  50796849     -1881
  13.01728  13.01783    0.0034  29880179  50802749      -548
  13.01686  13.01742    0.0034  29886079  50801349     -1614
  13.01644  13.01699    0.0034  29880479  50789949      -814
  13.01603  13.01656    0.0034  29875079  50802149     -1348
  13.01561  13.01612    0.0034  29882279  50816049     -1081
  13.01519  13.01569    0.0034  29873779  50793649     -1081
  13.01478  13.01528    0.0034  29862879  50792049     -1348
  13.01436  13.01486    0.0034  29859879  50813349      -814
  13.01394  13.01445    0.0034  29856979  50804049     -1614
  13.01353  13.01404    0.0034  29859879  50809649      -814
  13.01311  13.01363    0.0034  29858579  50825949     -1614
  13.01269  13.01322    0.0034  29861479  50837649      -548
  13.01228  13.01281    0.0034  29854279  50842949     -1614
  13.01186  13.01241    0.0034  29841279  50829349      -814
  13.01144  13.01199    0.0034  29857179  50849649     -1079
  13.01103  13.01157    0.0034  29851879  50831249     -1081
  13.01061  13.01114    0.0034  29858279  50862149     -1081
  13.01019  13.01070    0.0034  29834579  50862449     -1348
  13.00978  13.01027    0.0034  29827679  50853949      -548
  13.00936  13.00985    0.0034  29827679  50869149     -1881
  13.00894  13.00943    0.0034  29831679  50866749      -548
  13.00853  13.00904    0.0034  29835879  50865949     -1348
  13.00811  13.00864    0.0034  29827679  50877649      -814
  13.00769  13.00825    0.0034  29815879  50870949     -1348
  13.00728  13.00785    0.0034  29827079  50882449     -1081
  13.00686  13.00743    0.0034  29823079  50892049     -1348
  13.00644  13.00701    0.0034  29823879  50910949     -1348
  13.00603  13.00657    0.0034  29822279  50887249     -1081
  13.00561  13.00613    0.0034  29823679  50886749     -1881
  13.00519  13.00570    0.0034  29812679  50913349      -548
  13.00478  13.00528    0.0034  29827879  50924049     -1613
  13.00436  13.00487    0.0034  29815879  50912549      -548
  13.00394  13.00446    0.0034  29801779  50899549     -1881
  13.00353  13.00404    0.0034  29797779  50898949     -1081
  13.00311  13.00363    0.0034  29809279  50926749     -1348
  13.00269  13.00322    0.0034  29809779  50933649     -1348
  13.00228  13.00281    0.0034  29796479  50914149     -1348
  13.00186  13.00240    0.0034  29781279  50922749     -1614
  13.00144  13.00198    0.0034  29799679  50934749      -814
  13.00103  13.00156    0.0034  29789479  50945649     -2148
  13.00061  13.00113    0.0034  29779379  50944549      -548
