   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:39 - 17.10.06 11:39
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.6 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.63989 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.02394  13.02441    0.0034  29970879  45076549     -1348
  13.02353  13.02401    0.0034  29982079  45069149     -1348
  13.02311  13.02360    0.0034  29963079  45064549     -1614
  13.02269  13.02319    0.0034  29967679  45084549     -1081
  13.02228  13.02278    0.0034  29970279  45096049     -1614
  13.02186  13.02237    0.0034  29970879  45094149      -548
  13.02144  13.02195    0.0034  29955879  45101349     -1614
  13.02103  13.02153    0.0034  29959879  45092849      -814
  13.02061  13.02110    0.0034  29947379  45101649     -1614
  13.02019  13.02067    0.0034  29949779  45113949      -814
  13.01978  13.02023    0.0034  29955379  45106149     -1081
  13.01936  13.01981    0.0034  29937479  45116549     -1348
  13.01894  13.01940    0.0034  29946579  45128349      -548
  13.01853  13.01900    0.0034  29951079  45129949     -1348
  13.01811  13.01861    0.0034  29964679  45158749      -279
  13.01769  13.01822    0.0034  29948979  45134749     -1348
  13.01728  13.01782    0.0034  29935079  45128349      -281
  13.01686  13.01741    0.0034  29943679  45148349     -1081
  13.01644  13.01698    0.0034  29940179  45163249      -814
  13.01603  13.01655    0.0034  29941279  45152049      -814
  13.01561  13.01611    0.0034  29923079  45159749     -1081
  13.01519  13.01568    0.0034  29929279  45154149      -281
  13.01478  13.01526    0.0034  29935079  45158749     -1348
  13.01436  13.01486    0.0034  29932179  45184049      -281
  13.01394  13.01444    0.0034  29933779  45161349     -1348
  13.01353  13.01403    0.0034  29916179  45156849      -548
  13.01311  13.01362    0.0034  29913779  45168049     -1348
  13.01269  13.01321    0.0034  29913279  45189949      -548
  13.01228  13.01281    0.0034  29924679  45205949     -1348
  13.01186  13.01239    0.0034  29907679  45191549     -1081
  13.01144  13.01198    0.0034  29919579  45186749     -1079
  13.01103  13.01156    0.0034  29899079  45181149     -1348
  13.01061  13.01113    0.0034  29923079  45223249      -814
  13.01019  13.01069    0.0034  29916679  45226749     -1881
  13.00978  13.01026    0.0034  29904479  45214449      -281
  13.00936  13.00984    0.0034  29905779  45212049     -1881
  13.00894  13.00943    0.0034  29908179  45242149      -814
  13.00853  13.00903    0.0034  29895679  45239249     -1614
  13.00811  13.00864    0.0034  29898579  45247749      -548
  13.00769  13.00824    0.0034  29888479  45249149     -1614
  13.00728  13.00784    0.0034  29880679  45239549     -1081
  13.00686  13.00742    0.0034  29895079  45257949     -1081
  13.00644  13.00700    0.0034  29900179  45261949     -1614
  13.00603  13.00656    0.0034  29881279  45245349      -814
  13.00561  13.00612    0.0034  29874579  45245149     -1881
  13.00519  13.00569    0.0034  29871079  45264049      -281
  13.00478  13.00527    0.0034  29899079  45281749     -1880
  13.00436  13.00486    0.0034  29877279  45254749      -548
  13.00394  13.00445    0.0034  29875879  45279549     -1348
  13.00353  13.00403    0.0034  29877779  45270149      -814
  13.00311  13.00362    0.0034  29874079  45290949     -1081
  13.00269  13.00321    0.0034  29881279  45294149     -1081
  13.00228  13.00280    0.0034  29864679  45300349      -814
  13.00186  13.00239    0.0034  29856179  45293949     -1348
  13.00144  13.00197    0.0034  29866079  45301149      -281
  13.00103  13.00155    0.0034  29863879  45310149     -1614
  13.00061  13.00112    0.0034  29862279  45318149      -281
  13.00019  13.00069    0.0034  29853279  45307749     -1348
  12.99978  13.00025    0.0034  29848679  45299249      -548
  12.99936  12.99983    0.0034  29845279  45335749     -1081
  12.99894  12.99942    0.0034  29851079  45339749      -814
  12.99853  12.99902    0.0034  29836979  45326449     -1081
  12.99811  12.99863    0.0034  29852679  45343049     -1346
  12.99769  12.99824    0.0034  29835679  45340849      -548
  12.99728  12.99784    0.0034  29835379  45340349     -1881
  12.99686  12.99742    0.0034  29826279  45337349      -548
  12.99644  12.99700    0.0034  29817479  45354949     -1614
  12.99603  12.99656    0.0034  29827379  45324349      -548
  12.99561  12.99613    0.0034  29820979  45355549     -1348
  12.99519  12.99570    0.0034  29828979  45357149     -1081
  12.99478  12.99528    0.0034  29817479  45356849     -1081
  12.99436  12.99487    0.0034  29816679  45363749     -1348
  12.99394  12.99446    0.0034  29812479  45351249     -1081
  12.99353  12.99404    0.0034  29813279  45363749     -1614
  12.99311  12.99363    0.0034  29807379  45373349      -548
  12.99269  12.99322    0.0034  29806579  45374949     -1881
  12.99228  12.99281    0.0034  29800179  45365149      -814
  12.99186  12.99240    0.0034  29792679  45371249     -1348
  12.99144  12.99199    0.0034  29798779  45376649      -813
  12.99103  12.99156    0.0034  29794079  45369949     -1348
  12.99061  12.99113    0.0034  29786279  45371249     -1348
  12.99019  12.99070    0.0034  29782279  45377149      -814
  12.98978  12.99026    0.0034  29770879  45387749     -1348
  12.98936  12.98984    0.0034  29760679  45378949      -548
  12.98894  12.98943    0.0034  29766879  45378449     -1614
  12.98853  12.98903    0.0034  29768979  45371749      -281
  12.98811  12.98864    0.0034  29758279  45374449     -1614
  12.98769  12.98825    0.0034  29753279  45364849      -281
  12.98728  12.98785    0.0034  29754879  45376849     -1348
  12.98686  12.98743    0.0034  29747679  45370149      -548
  12.98644  12.98701    0.0034  29744479  45385149     -1081
  12.98603  12.98658    0.0034  29742579  45377649      -814
  12.98561  12.98614    0.0034  29731079  45385949      -281
  12.98519  12.98571    0.0034  29731079  45397149     -1348
  12.98478  12.98529    0.0034  29734279  45415249       -14
  12.98436  12.98488    0.0034  29731579  45415349     -1346
  12.98394  12.98447    0.0034  29725279  45390949      -281
  12.98353  12.98406    0.0034  29726279  45410749     -1081
  12.98311  12.98365    0.0034  29727679  45406749      -281
  12.98269  12.98324    0.0034  29733279  45420349     -1081
  12.98228  12.98283    0.0034  29717479  45432049      -814
  12.98186  12.98242    0.0034  29699879  45424049      -814
  12.98144  12.98200    0.0034  29694079  45419749     -1348
  12.98103  12.98158    0.0034  29705779  45420349      -548
  12.98061  12.98115    0.0034  29700979  45434949     -1614
  12.98019  12.98071    0.0034  29702879  45424349      -281
  12.97978  12.98028    0.0034  29683879  45428049     -1614
  12.97936  12.97985    0.0034  29699079  45435749      -548
  12.97894  12.97944    0.0034  29692979  45460049     -1348
  12.97853  12.97904    0.0034  29706879  45460349     -1081
  12.97811  12.97865    0.0034  29686879  45450149     -1081
  12.97769  12.97826    0.0034  29695079  45477549      -813
  12.97728  12.97785    0.0034  29691879  45476849     -1081
  12.97686  12.97744    0.0034  29679679  45481949     -1348
  12.97644  12.97701    0.0034  29670579  45476049      -548
  12.97603  12.97658    0.0034  29655679  45452849     -1881
  12.97561  12.97614    0.0034  29670879  45490449      -281
  12.97519  12.97571    0.0034  29693279  45507249     -1881
  12.97478  12.97529    0.0034  29670579  45494949      -814
  12.97436  12.97488    0.0034  29659679  45496349     -1348
  12.97394  12.97447    0.0034  29662279  45496049     -1348
  12.97353  12.97406    0.0034  29676479  45500349      -814
  12.97311  12.97365    0.0034  29664479  45527549     -1614
  12.97269  12.97324    0.0034  29662279  45509349      -814
  12.97228  12.97283    0.0034  29661479  45510449     -1614
  12.97186  12.97242    0.0034  29661479  45534749      -548
  12.97144  12.97201    0.0034  29673779  45553649     -1881
  12.97103  12.97159    0.0034  29670779  45572449      -546
  12.97061  12.97116    0.0034  29659879  45556349     -1348
  12.97019  12.97072    0.0034  29655679  45537949      -814
  12.96978  12.97028    0.0034  29668179  45561149     -1348
  12.96936  12.96986    0.0034  29667379  45592849     -1081
  12.96894  12.96945    0.0034  29659379  45568349      -814
  12.96853  12.96905    0.0034  29654279  45579249     -1348
  12.96811  12.96866    0.0034  29665479  45598149      -814
